id,date,dealership,location,model,price,month,year,quarter
SL000001,2023-01-01,Texas Dealership,"Austin, TX",E-Sedan Pro,43451.98,2023-01,2023,Q1
SL000002,2023-01-01,Texas Dealership,"Austin, TX",E-Sedan Pro,46647.79,2023-01,2023,Q1
SL000003,2023-01-01,California Dealership,"Los Angeles, CA",E-Sports GT,98158.21,2023-01,2023,Q1
SL000004,2023-01-04,Texas Dealership,"Austin, TX",E-SUV Elite,62572.97,2023-01,2023,Q1
SL000005,2023-01-04,California Dealership,"Los Angeles, CA",E-Sedan Pro,47019.98,2023-01,2023,Q1
SL000006,2023-01-04,Illinois Dealership,"Chicago, IL",E-Sedan Pro,45829.05,2023-01,2023,Q1
SL000007,2023-01-04,Illinois Dealership,"Chicago, IL",E-SUV Elite,59656.64,2023-01,2023,Q1
SL000008,2023-01-05,Florida Dealership,"Miami, FL",E-Compact City,31397.48,2023-01,2023,Q1
SL000009,2023-01-06,Texas Dealership,"Austin, TX",E-Compact City,33350.0,2023-01,2023,Q1
SL000010,2023-01-06,Texas Dealership,"Austin, TX",E-Sedan Pro,43631.92,2023-01,2023,Q1
SL000011,2023-01-06,Texas Dealership,"Austin, TX",E-Sedan Pro,44213.99,2023-01,2023,Q1
SL000012,2023-01-06,Illinois Dealership,"Chicago, IL",E-Sedan Pro,45192.13,2023-01,2023,Q1
SL000013,2023-01-07,Texas Dealership,"Austin, TX",E-Sports GT,97586.33,2023-01,2023,Q1
SL000014,2023-01-07,Illinois Dealership,"Chicago, IL",E-Compact City,32868.07,2023-01,2023,Q1
SL000015,2023-01-08,California Dealership,"Los Angeles, CA",E-SUV Elite,59294.06,2023-01,2023,Q1
SL000016,2023-01-09,Texas Dealership,"Austin, TX",E-Truck Power,74791.61,2023-01,2023,Q1
SL000017,2023-01-09,California Dealership,"Los Angeles, CA",E-Compact City,32867.09,2023-01,2023,Q1
SL000018,2023-01-11,California Dealership,"Los Angeles, CA",E-SUV Elite,63584.42,2023-01,2023,Q1
SL000019,2023-01-12,California Dealership,"Los Angeles, CA",E-Truck Power,77277.54,2023-01,2023,Q1
SL000020,2023-01-12,California Dealership,"Los Angeles, CA",E-Sedan Pro,46766.52,2023-01,2023,Q1
SL000021,2023-01-13,New York Dealership,"New York, NY",E-Sedan Pro,43775.71,2023-01,2023,Q1
SL000022,2023-01-13,New York Dealership,"New York, NY",E-SUV Elite,63971.69,2023-01,2023,Q1
SL000023,2023-01-13,Texas Dealership,"Austin, TX",E-SUV Elite,61487.95,2023-01,2023,Q1
SL000024,2023-01-14,New York Dealership,"New York, NY",E-SUV Elite,63258.72,2023-01,2023,Q1
SL000025,2023-01-14,Florida Dealership,"Miami, FL",E-SUV Elite,60765.45,2023-01,2023,Q1
SL000026,2023-01-14,Florida Dealership,"Miami, FL",E-Sedan Pro,42915.99,2023-01,2023,Q1
SL000027,2023-01-14,California Dealership,"Los Angeles, CA",E-Sedan Pro,44003.91,2023-01,2023,Q1
SL000028,2023-01-14,Illinois Dealership,"Chicago, IL",E-Sedan Pro,44952.54,2023-01,2023,Q1
SL000029,2023-01-15,New York Dealership,"New York, NY",E-Compact City,32837.18,2023-01,2023,Q1
SL000030,2023-01-15,Florida Dealership,"Miami, FL",E-Compact City,32427.3,2023-01,2023,Q1
SL000031,2023-01-16,New York Dealership,"New York, NY",E-Sedan Pro,42933.49,2023-01,2023,Q1
SL000032,2023-01-16,Florida Dealership,"Miami, FL",E-SUV Elite,60304.27,2023-01,2023,Q1
SL000033,2023-01-16,California Dealership,"Los Angeles, CA",E-Compact City,31637.55,2023-01,2023,Q1
SL000034,2023-01-16,Illinois Dealership,"Chicago, IL",E-SUV Elite,59603.54,2023-01,2023,Q1
SL000035,2023-01-17,New York Dealership,"New York, NY",E-Compact City,33015.11,2023-01,2023,Q1
SL000036,2023-01-17,New York Dealership,"New York, NY",E-Compact City,32094.88,2023-01,2023,Q1
SL000037,2023-01-17,California Dealership,"Los Angeles, CA",E-SUV Elite,61065.1,2023-01,2023,Q1
SL000038,2023-01-17,California Dealership,"Los Angeles, CA",E-Compact City,33270.75,2023-01,2023,Q1
SL000039,2023-01-17,Illinois Dealership,"Chicago, IL",E-Sedan Pro,43477.33,2023-01,2023,Q1
SL000040,2023-01-17,Illinois Dealership,"Chicago, IL",E-Truck Power,75798.22,2023-01,2023,Q1
SL000041,2023-01-18,Florida Dealership,"Miami, FL",E-Sedan Pro,45219.3,2023-01,2023,Q1
SL000042,2023-01-18,California Dealership,"Los Angeles, CA",E-Sedan Pro,45954.81,2023-01,2023,Q1
SL000043,2023-01-19,Texas Dealership,"Austin, TX",E-Truck Power,76182.1,2023-01,2023,Q1
SL000044,2023-01-20,Florida Dealership,"Miami, FL",E-Truck Power,75983.54,2023-01,2023,Q1
SL000045,2023-01-20,California Dealership,"Los Angeles, CA",E-Compact City,31976.06,2023-01,2023,Q1
SL000046,2023-01-21,New York Dealership,"New York, NY",E-Sedan Pro,45654.63,2023-01,2023,Q1
SL000047,2023-01-21,Florida Dealership,"Miami, FL",E-Sedan Pro,46927.43,2023-01,2023,Q1
SL000048,2023-01-21,Florida Dealership,"Miami, FL",E-SUV Elite,64893.26,2023-01,2023,Q1
SL000049,2023-01-21,Florida Dealership,"Miami, FL",E-Sports GT,98353.59,2023-01,2023,Q1
SL000050,2023-01-22,New York Dealership,"New York, NY",E-Sedan Pro,45255.61,2023-01,2023,Q1
SL000051,2023-01-22,Texas Dealership,"Austin, TX",E-Compact City,30710.96,2023-01,2023,Q1
SL000052,2023-01-22,California Dealership,"Los Angeles, CA",E-SUV Elite,64339.71,2023-01,2023,Q1
SL000053,2023-01-22,Illinois Dealership,"Chicago, IL",E-Compact City,31550.37,2023-01,2023,Q1
SL000054,2023-01-23,Texas Dealership,"Austin, TX",E-Truck Power,78099.3,2023-01,2023,Q1
SL000055,2023-01-23,Illinois Dealership,"Chicago, IL",E-Compact City,32946.54,2023-01,2023,Q1
SL000056,2023-01-24,New York Dealership,"New York, NY",E-SUV Elite,59482.69,2023-01,2023,Q1
SL000057,2023-01-25,Illinois Dealership,"Chicago, IL",E-Sedan Pro,45100.09,2023-01,2023,Q1
SL000058,2023-01-26,New York Dealership,"New York, NY",E-Compact City,30673.11,2023-01,2023,Q1
SL000059,2023-01-27,New York Dealership,"New York, NY",E-SUV Elite,63830.15,2023-01,2023,Q1
SL000060,2023-01-27,New York Dealership,"New York, NY",E-Sedan Pro,44725.37,2023-01,2023,Q1
SL000061,2023-01-27,California Dealership,"Los Angeles, CA",E-SUV Elite,59974.42,2023-01,2023,Q1
SL000062,2023-01-27,California Dealership,"Los Angeles, CA",E-Sedan Pro,43876.09,2023-01,2023,Q1
SL000063,2023-01-28,New York Dealership,"New York, NY",E-Sedan Pro,47046.89,2023-01,2023,Q1
SL000064,2023-01-28,Texas Dealership,"Austin, TX",E-Compact City,31742.72,2023-01,2023,Q1
SL000065,2023-01-28,Illinois Dealership,"Chicago, IL",E-Sedan Pro,42957.01,2023-01,2023,Q1
SL000066,2023-01-29,Texas Dealership,"Austin, TX",E-SUV Elite,59506.57,2023-01,2023,Q1
SL000067,2023-01-30,Florida Dealership,"Miami, FL",E-Sedan Pro,44435.76,2023-01,2023,Q1
SL000068,2023-01-30,California Dealership,"Los Angeles, CA",E-Truck Power,76190.2,2023-01,2023,Q1
SL000069,2023-01-31,California Dealership,"Los Angeles, CA",E-Compact City,31642.14,2023-01,2023,Q1
SL000070,2023-02-01,Florida Dealership,"Miami, FL",E-Sports GT,98850.83,2023-02,2023,Q1
SL000071,2023-02-02,California Dealership,"Los Angeles, CA",E-SUV Elite,64138.23,2023-02,2023,Q1
SL000072,2023-02-03,New York Dealership,"New York, NY",E-Sedan Pro,45885.32,2023-02,2023,Q1
SL000073,2023-02-03,Florida Dealership,"Miami, FL",E-Sedan Pro,43548.48,2023-02,2023,Q1
SL000074,2023-02-03,Florida Dealership,"Miami, FL",E-Compact City,32981.87,2023-02,2023,Q1
SL000075,2023-02-03,California Dealership,"Los Angeles, CA",E-SUV Elite,63713.76,2023-02,2023,Q1
SL000076,2023-02-04,New York Dealership,"New York, NY",E-Compact City,32814.54,2023-02,2023,Q1
SL000077,2023-02-04,New York Dealership,"New York, NY",E-Sedan Pro,46811.49,2023-02,2023,Q1
SL000078,2023-02-04,Florida Dealership,"Miami, FL",E-Truck Power,74169.01,2023-02,2023,Q1
SL000079,2023-02-04,Illinois Dealership,"Chicago, IL",E-SUV Elite,64790.38,2023-02,2023,Q1
SL000080,2023-02-05,New York Dealership,"New York, NY",E-Compact City,31835.03,2023-02,2023,Q1
SL000081,2023-02-05,California Dealership,"Los Angeles, CA",E-Compact City,32926.78,2023-02,2023,Q1
SL000082,2023-02-06,Illinois Dealership,"Chicago, IL",E-Sedan Pro,43393.46,2023-02,2023,Q1
SL000083,2023-02-07,New York Dealership,"New York, NY",E-Sedan Pro,43128.48,2023-02,2023,Q1
SL000084,2023-02-07,Texas Dealership,"Austin, TX",E-Truck Power,76546.82,2023-02,2023,Q1
SL000085,2023-02-07,Illinois Dealership,"Chicago, IL",E-SUV Elite,63939.36,2023-02,2023,Q1
SL000086,2023-02-08,New York Dealership,"New York, NY",E-Sedan Pro,46247.16,2023-02,2023,Q1
SL000087,2023-02-08,New York Dealership,"New York, NY",E-Compact City,31757.51,2023-02,2023,Q1
SL000088,2023-02-08,New York Dealership,"New York, NY",E-Truck Power,72083.98,2023-02,2023,Q1
SL000089,2023-02-09,Florida Dealership,"Miami, FL",E-Compact City,33478.95,2023-02,2023,Q1
SL000090,2023-02-10,New York Dealership,"New York, NY",E-Sports GT,90365.47,2023-02,2023,Q1
SL000091,2023-02-10,Texas Dealership,"Austin, TX",E-Truck Power,75207.76,2023-02,2023,Q1
SL000092,2023-02-10,Florida Dealership,"Miami, FL",E-Compact City,33501.77,2023-02,2023,Q1
SL000093,2023-02-10,Illinois Dealership,"Chicago, IL",E-SUV Elite,62790.86,2023-02,2023,Q1
SL000094,2023-02-11,Texas Dealership,"Austin, TX",E-Sedan Pro,47026.85,2023-02,2023,Q1
SL000095,2023-02-11,Florida Dealership,"Miami, FL",E-Compact City,31287.62,2023-02,2023,Q1
SL000096,2023-02-12,California Dealership,"Los Angeles, CA",E-SUV Elite,63945.53,2023-02,2023,Q1
SL000097,2023-02-12,California Dealership,"Los Angeles, CA",E-Compact City,30920.37,2023-02,2023,Q1
SL000098,2023-02-12,California Dealership,"Los Angeles, CA",E-Truck Power,77419.03,2023-02,2023,Q1
SL000099,2023-02-12,Illinois Dealership,"Chicago, IL",E-SUV Elite,64682.92,2023-02,2023,Q1
SL000100,2023-02-12,Illinois Dealership,"Chicago, IL",E-Truck Power,71589.14,2023-02,2023,Q1
SL000101,2023-02-13,Florida Dealership,"Miami, FL",E-Compact City,31618.85,2023-02,2023,Q1
SL000102,2023-02-13,Florida Dealership,"Miami, FL",E-Sports GT,98250.13,2023-02,2023,Q1
SL000103,2023-02-13,California Dealership,"Los Angeles, CA",E-SUV Elite,60595.12,2023-02,2023,Q1
SL000104,2023-02-14,New York Dealership,"New York, NY",E-Compact City,33423.25,2023-02,2023,Q1
SL000105,2023-02-14,New York Dealership,"New York, NY",E-Truck Power,73105.11,2023-02,2023,Q1
SL000106,2023-02-14,New York Dealership,"New York, NY",E-SUV Elite,59700.79,2023-02,2023,Q1
SL000107,2023-02-14,New York Dealership,"New York, NY",E-Sports GT,96008.66,2023-02,2023,Q1
SL000108,2023-02-14,Florida Dealership,"Miami, FL",E-SUV Elite,59604.06,2023-02,2023,Q1
SL000109,2023-02-14,California Dealership,"Los Angeles, CA",E-Compact City,32064.52,2023-02,2023,Q1
SL000110,2023-02-14,Illinois Dealership,"Chicago, IL",E-Compact City,33205.29,2023-02,2023,Q1
SL000111,2023-02-15,California Dealership,"Los Angeles, CA",E-Compact City,31081.49,2023-02,2023,Q1
SL000112,2023-02-16,Florida Dealership,"Miami, FL",E-SUV Elite,64505.78,2023-02,2023,Q1
SL000113,2023-02-17,New York Dealership,"New York, NY",E-Compact City,33159.56,2023-02,2023,Q1
SL000114,2023-02-17,Texas Dealership,"Austin, TX",E-Truck Power,74940.87,2023-02,2023,Q1
SL000115,2023-02-17,Illinois Dealership,"Chicago, IL",E-SUV Elite,62827.09,2023-02,2023,Q1
SL000116,2023-02-19,Illinois Dealership,"Chicago, IL",E-Compact City,30951.42,2023-02,2023,Q1
SL000117,2023-02-22,Texas Dealership,"Austin, TX",E-Compact City,32409.28,2023-02,2023,Q1
SL000118,2023-02-22,California Dealership,"Los Angeles, CA",E-Sedan Pro,46377.91,2023-02,2023,Q1
SL000119,2023-02-22,California Dealership,"Los Angeles, CA",E-Compact City,30990.47,2023-02,2023,Q1
SL000120,2023-02-23,Florida Dealership,"Miami, FL",E-SUV Elite,63534.32,2023-02,2023,Q1
SL000121,2023-02-24,New York Dealership,"New York, NY",E-SUV Elite,59564.47,2023-02,2023,Q1
SL000122,2023-02-24,New York Dealership,"New York, NY",E-SUV Elite,62202.23,2023-02,2023,Q1
SL000123,2023-02-25,Illinois Dealership,"Chicago, IL",E-Compact City,32925.35,2023-02,2023,Q1
SL000124,2023-02-26,California Dealership,"Los Angeles, CA",E-SUV Elite,59691.0,2023-02,2023,Q1
SL000125,2023-02-27,Florida Dealership,"Miami, FL",E-Sports GT,96004.86,2023-02,2023,Q1
